Algorithm,CEC_Rank,CEC_Total_Score,Traditional_Rank,Traditional_Avg_Rank,Is_OIO
OIO,1,1153,1,1.6666666666666667,Yes
CPO,2,3559,2,2.75,No
GGO,3,3673,3,3.3333333333333335,No
WO,4,4474,4,4.333333333333333,No
QSO,5,6174,8,7.916666666666667,No
HO,6,7862,7,6.333333333333333,No
EHO,7,9245,5,5.916666666666667,No
PSO,8,9592,11,11.25,No
DE,9,11336,6,6.333333333333333,No
SA,10,11426,10,9.75,No
HC,11,12122,14,13.416666666666666,No
GA,12,12838,9,8.583333333333334,No
PSO-GWO,13,14608,12,12.75,No
WOA,14,14969,13,13.416666666666666,No
HHO,15,15741,16,14.166666666666666,No
AHHO,16,15788,15,14.083333333333334,No
